Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
Russian Federation,RUS,6759,52.77412,50.370526,0.000590714,upstream oil
Iran,IRN,9862,36.51746,60.885566,0.000590635,upstream oil
Canada,CAN,396,50.532548,-108.278892,0.000590031,upstream oil
United States,USA,3609,27.729407,-91.10934,0.000589217,upstream oil
United States,USA,639,47.761106,-103.171001,0.000589035,upstream oil
Argentina,ARG,4732,-38.752998,-67.637814,0.000588959,upstream oil
Japan,JPN,12358,33.942609,131.188259,0.000588607,refinery
Algeria,DZA,5604,28.651338,8.945831,0.000587629,upstream oil
Indonesia,IDN,12088,0.083168,117.482378,0.000587606,lng
United States,USA,1473,31.766137,-103.886936,0.000587471,upstream oil
Iran,IRN,7713,31.27482,48.574201,0.000587415,upstream oil
Indonesia,IDN,11996,-6.409875,108.126689,0.000586435,upstream oil
United States,USA,1354,31.766338,-104.037775,0.000584744,upstream oil
Canada,CAN,359,55.071869,-110.531898,0.000584718,upstream oil
United States,USA,1304,32.072019,-104.101002,0.00058453,upstream oil
China,CHN,9685,40.72581,83.203505,0.000583617,upstream oil
Pakistan,PAK,9977,25.32638,68.776029,0.000583555,upstream oil
United States,USA,1422,31.738256,-103.945294,0.000583494,upstream oil
United States,USA,1850,31.912475,-103.505056,0.000582287,upstream oil
Russian Federation,RUS,8655,60.50269,65.132585,0.000582261,upstream oil
Oman,OMN,8520,22.172378,55.977084,0.000582255,upstream oil
Venezuela,VEN,4285,9.183348,-63.914203,0.000581988,upstream oil
United States,USA,4030,31.985564,-88.834304,0.000581803,upstream oil
Canada,CAN,29,59.192402,-120.512554,0.000581031,upstream oil
United States,USA,2651,32.38817,-101.563186,0.000581002,upstream oil
United States,USA,1160,34.343651,-119.012169,0.00058035,upstream oil
Zambia,ZMB,6378,-13.041399,28.683341,0.000580282,refinery
France,FRA,5162,49.479292,0.218066,0.000579422,refinery
United States,USA,2671,32.371657,-101.5076,0.000579352,upstream oil
Mexico,MEX,3799,17.813363,-93.12908,0.000578959,upstream oil
Kuwait,KWT,7545,29.048373,47.58414,0.000578639,upstream oil
United States,USA,3106,28.636526,-98.226899,0.000578639,upstream oil
United States,USA,574,48.112767,-103.370613,0.000578556,upstream oil
United States,USA,1512,31.640761,-103.841007,0.000578554,upstream oil
Norway,NOR,5109,60.491293,2.824965,0.000578395,upstream oil
Australia,AUS,12446,-24.044549,131.642283,0.000578072,upstream oil
Bangladesh,BGD,10726,24.927689,91.91314,0.000578013,upstream oil
United States,USA,1868,31.940712,-103.486526,0.000577928,upstream oil
Russian Federation,RUS,10286,60.421209,96.212759,0.000577784,upstream oil
United States,USA,2573,32.012337,-101.707769,0.000576766,upstream oil
China,CHN,10998,37.774112,108.273945,0.000576105,upstream oil
United Arab Emirates,ARE,8343,22.929468,53.840837,0.000575659,upstream oil
Ukraine,UKR,6607,49.377124,37.779901,0.000575178,upstream oil
Canada,CAN,448,50.461936,-104.720415,0.00057516,upstream oil
Russian Federation,RUS,10599,55.366314,105.851195,0.000574723,upstream gas
Canada,CAN,142,55.8544,-119.170472,0.000574412,upstream oil
China,CHN,9836,44.983773,88.212637,0.000574344,upstream oil
United States,USA,1294,32.56677,-104.117666,0.000574344,upstream oil
Russian Federation,RUS,9342,66.00478,79.470621,0.000573983,upstream gas
United States,USA,2908,28.457684,-99.370546,0.000573552,upstream oil
Russian Federation,RUS,6787,53.949283,51.084438,0.000573279,upstream oil
United States,USA,3043,28.741254,-98.618016,0.000572598,upstream oil
Russian Federation,RUS,10419,58.083311,106.587428,0.000572272,upstream oil
United States,USA,3163,34.91156,-98.008895,0.000571656,upstream oil
United States,USA,2161,33.050425,-102.900765,0.000571256,upstream oil
Russian Federation,RUS,9430,67.112034,80.428089,0.000570931,upstream gas
Iraq,IRQ,7426,33.10695,44.839547,0.000570546,upstream oil
Russian Federation,RUS,9313,65.862933,78.817518,0.000570109,upstream gas
United States,USA,2399,31.887423,-101.996938,0.000569868,upstream oil
China,CHN,9828,43.965423,87.72487,0.000569783,refinery
Peru,PER,4442,-4.880464,-81.142374,0.000569293,upstream oil
Russian Federation,RUS,9497,68.400329,83.596006,0.000568286,upstream oil
United States,USA,2842,28.312835,-99.897044,0.000568259,upstream oil
United States,USA,2879,28.47008,-99.517664,0.000568092,upstream oil
United States,USA,1009,47.831415,-102.582108,0.000567875,upstream oil
United States,USA,3048,28.480526,-98.567756,0.000566155,upstream oil
China,CHN,9705,40.823525,83.427688,0.000566073,upstream oil
United States,USA,2855,28.640456,-99.724384,0.000566055,upstream oil
